,Customer_ID,Age,Gender,Location,Product_Category,Product_Name,Quantity_Purchased,Unit_Price_GBP,Total_Sales_GBP,Order_Date,Delivery_Time_Days,Shipping_Status,Customer_Rating,Returned,Return_Reason,Customer_Segment,Return_Flag,On_Time_Flag,Order_Month,Order_Year,Average_Order_Value,Age_Group
43,C1043,21,Female,London,Fashion,Jacket,2,145,290,28/03/2025,6,Delayed,4,No,No Return,Medium,0,0,2025-03,2025,290,18-25
44,C1044,42,Male,Manchester,Home Goods,Chair,1,218,218,28/12/2025,10,Delayed,3,Yes,Damaged Product,Medium,1,0,2025-12,2025,218,36-50
45,C1045,31,Female,Bristol,Electronics,Smartwatch,2,179,358,25/02/2025,3,On-Time,5,No,No Return,Medium,0,1,2025-02,2025,358,26-35
46,C1046,26,Male,Birmingham,Electronics,Laptop,4,707,2828,23/04/2025,3,On-Time,5,No,No Return,Premium,0,1,2025-04,2025,2828,26-35
47,C1047,43,Male,Manchester,Electronics,Tablet,3,730,2190,13/01/2025,1,On-Time,4,No,No Return,Premium,0,1,2025-01,2025,2190,36-50
48,C1048,19,Male,Liverpool,Home Goods,Blender,3,173,519,18/01/2025,7,Delayed,2,Yes,Damaged Product,High,1,0,2025-01,2025,519,18-25
49,C1049,37,Male,Glasgow,Electronics,Smartwatch,4,252,1008,01/07/2025,8,Delayed,3,No,No Return,High,0,0,2025-07,2025,1008,36-50
50,C1050,45,Female,Sheffield,Fashion,Jeans,3,54,162,23/04/2025,2,On-Time,5,Yes,Damaged Product,Medium,1,1,2025-04,2025,162,36-50
51,C1051,64,Female,Glasgow,Home Goods,Cookware Set,5,69,345,17/08/2025,4,On-Time,4,No,No Return,Medium,0,1,2025-08,2025,345,51-65
52,C1052,24,Male,London,Home Goods,Lamp,1,190,190,20/06/2025,10,Delayed,3,No,No Return,Medium,0,0,2025-06,2025,190,18-25
53,C1053,61,Female,Glasgow,Fashion,Dress,1,114,114,22/10/2025,7,Delayed,2,Yes,Damaged Product,Medium,1,0,2025-10,2025,114,51-65
54,C1054,25,Male,Birmingham,Electronics,Smartphone,1,792,792,08/07/2025,8,Delayed,1,Yes,Poor Quality,High,1,0,2025-07,2025,792,18-25
55,C1055,64,Female,London,Home Goods,Blender,3,214,642,20/03/2025,1,On-Time,4,No,No Return,High,0,1,2025-03,2025,642,51-65
56,C1056,52,Female,Birmingham,Fashion,Jacket,3,51,153,26/05/2025,4,On-Time,4,No,No Return,Medium,0,1,2025-05,2025,153,51-65
57,C1057,31,Female,Liverpool,Electronics,Smartphone,2,494,988,01/07/2025,6,Delayed,3,No,No Return,High,0,0,2025-07,2025,988,26-35
58,C1058,34,Male,London,Electronics,Headphones,2,283,566,13/10/2025,3,On-Time,5,No,No Return,High,0,1,2025-10,2025,566,26-35
59,C1059,53,Female,Leeds,Home Goods,Blender,1,46,46,07/09/2025,5,On-Time,4,No,No Return,Low,0,1,2025-09,2025,46,51-65
60,C1060,57,Female,Bristol,Fashion,Trainers,5,83,415,20/12/2025,10,Delayed,2,Yes,Changed Mind,Medium,1,0,2025-12,2025,415,51-65
61,C1061,21,Male,Bristol,Home Goods,Blender,2,213,426,10/11/2025,9,Delayed,2,No,No Return,Medium,0,0,2025-11,2025,426,18-25
62,C1062,19,Male,Birmingham,Home Goods,Chair,2,68,136,15/07/2025,3,On-Time,5,No,No Return,Medium,0,1,2025-07,2025,136,18-25
63,C1063,23,Female,Glasgow,Fashion,Jeans,3,30,90,19/11/2025,5,On-Time,3,No,No Return,Low,0,1,2025-11,2025,90,18-25
64,C1064,59,Female,Sheffield,Fashion,T-Shirt,5,16,80,12/03/2025,8,Delayed,1,Yes,Late Delivery,Low,1,0,2025-03,2025,80,51-65
65,C1065,21,Female,Sheffield,Fashion,Jeans,1,74,74,05/09/2025,6,Delayed,3,No,No Return,Low,0,0,2025-09,2025,74,18-25
66,C1066,46,Female,Leeds,Electronics,Smartphone,2,993,1986,26/05/2025,4,On-Time,4,No,No Return,High,0,1,2025-05,2025,1986,36-50
67,C1067,35,Female,London,Fashion,Jeans,5,44,220,16/04/2025,8,Delayed,2,No,No Return,Medium,0,0,2025-04,2025,220,26-35
68,C1068,43,Male,Leeds,Home Goods,Lamp,5,103,515,20/09/2025,3,On-Time,5,No,No Return,High,0,1,2025-09,2025,515,36-50
69,C1069,61,Male,Leeds,Fashion,Trainers,1,67,67,23/10/2025,3,On-Time,5,No,No Return,Low,0,1,2025-10,2025,67,51-65
70,C1070,51,Male,Glasgow,Home Goods,Lamp,5,47,235,11/03/2025,4,On-Time,4,No,No Return,Medium,0,1,2025-03,2025,235,51-65
71,C1071,27,Female,Sheffield,Fashion,Jacket,5,64,320,12/07/2025,9,Delayed,2,Yes,Poor Quality,Medium,1,0,2025-07,2025,320,26-35
72,C1072,53,Male,London,Fashion,Dress,5,135,675,09/03/2025,5,On-Time,4,No,No Return,High,0,1,2025-03,2025,675,51-65
73,C1073,31,Female,Liverpool,Fashion,Trainers,2,39,78,01/11/2025,8,Delayed,3,No,No Return,Low,0,0,2025-11,2025,78,26-35
74,C1074,48,Female,Glasgow,Fashion,Dress,1,99,99,21/02/2025,6,Delayed,3,No,No Return,Low,0,0,2025-02,2025,99,36-50
75,C1075,65,Female,Leeds,Fashion,Trainers,5,71,355,29/12/2025,3,On-Time,5,No,No Return,Medium,0,1,2025-12,2025,355,51-65
76,C1076,32,Male,Leeds,Electronics,Smartphone,5,660,3300,12/10/2025,8,Delayed,1,Yes,Poor Quality,Premium,1,0,2025-10,2025,3300,26-35
77,C1077,25,Female,Liverpool,Fashion,T-Shirt,2,56,112,30/11/2025,9,Delayed,2,Yes,Late Delivery,Medium,1,0,2025-11,2025,112,18-25
78,C1078,31,Male,Leeds,Electronics,Tablet,1,502,502,09/01/2025,8,Delayed,2,Yes,Late Delivery,High,1,0,2025-01,2025,502,26-35
79,C1079,40,Female,Leeds,Electronics,Headphones,3,214,642,08/09/2025,4,On-Time,5,No,No Return,High,0,1,2025-09,2025,642,36-50
80,C1080,57,Male,Leeds,Fashion,Dress,2,119,238,28/11/2025,6,Delayed,3,No,No Return,Medium,0,0,2025-11,2025,238,51-65
81,C1081,38,Male,Bristol,Fashion,Trainers,1,51,51,25/10/2025,1,On-Time,5,No,No Return,Low,0,1,2025-10,2025,51,36-50
82,C1082,33,Female,Glasgow,Home Goods,Lamp,5,204,1020,03/07/2025,4,On-Time,5,No,No Return,High,0,1,2025-07,2025,1020,26-35
83,C1083,62,Male,Manchester,Fashion,Jacket,1,123,123,28/06/2025,8,Delayed,3,No,No Return,Medium,0,0,2025-06,2025,123,51-65
84,C1084,35,Male,Glasgow,Fashion,Trainers,1,56,56,17/07/2025,1,On-Time,4,No,No Return,Low,0,1,2025-07,2025,56,26-35
85,C1085,64,Female,Liverpool,Fashion,Jacket,1,80,80,08/05/2025,3,On-Time,5,No,No Return,Low,0,1,2025-05,2025,80,51-65
86,C1086,41,Female,Leeds,Fashion,Jeans,3,48,144,20/01/2025,1,On-Time,5,No,No Return,Medium,0,1,2025-01,2025,144,36-50
87,C1087,43,Female,Glasgow,Electronics,Tablet,1,359,359,24/11/2025,9,Delayed,3,No,No Return,Medium,0,0,2025-11,2025,359,36-50
88,C1088,42,Female,Bristol,Electronics,Headphones,3,267,801,06/03/2025,2,On-Time,4,No,No Return,High,0,1,2025-03,2025,801,36-50
89,C1089,62,Female,Sheffield,Electronics,Laptop,5,1200,6000,01/07/2025,9,Delayed,2,Yes,Changed Mind,Premium,1,0,2025-07,2025,6000,51-65
90,C1090,58,Male,Liverpool,Fashion,Trainers,3,95,285,29/08/2025,4,On-Time,5,No,No Return,Medium,0,1,2025-08,2025,285,51-65
91,C1091,46,Male,Birmingham,Electronics,Smartwatch,5,61,305,24/01/2025,2,On-Time,5,No,No Return,Medium,0,1,2025-01,2025,305,36-50
92,C1092,32,Male,Glasgow,Electronics,Headphones,5,217,1085,24/03/2025,4,On-Time,4,No,No Return,High,0,1,2025-03,2025,1085,26-35
93,C1093,62,Female,Birmingham,Electronics,Smartphone,3,372,1116,15/11/2025,10,Delayed,2,No,No Return,High,0,0,2025-11,2025,1116,51-65
94,C1094,18,Female,Leeds,Home Goods,Chair,2,95,190,04/07/2025,6,Delayed,3,No,No Return,Medium,0,0,2025-07,2025,190,18-25
95,C1095,42,Male,Bristol,Electronics,Tablet,4,400,1600,12/11/2025,7,Delayed,4,No,No Return,High,0,0,2025-11,2025,1600,36-50
96,C1096,24,Male,Bristol,Fashion,T-Shirt,1,24,24,09/04/2025,3,On-Time,5,No,No Return,Low,0,1,2025-04,2025,24,18-25
97,C1097,26,Female,Glasgow,Electronics,Smartphone,4,804,3216,03/03/2025,3,On-Time,5,No,No Return,Premium,0,1,2025-03,2025,3216,26-35
98,C1098,41,Male,Liverpool,Fashion,Jeans,1,62,62,13/10/2025,10,Delayed,3,No,No Return,Low,0,0,2025-10,2025,62,36-50
99,C1099,18,Female,Liverpool,Electronics,Smartphone,1,338,338,22/01/2025,8,Delayed,2,No,No Return,Medium,0,0,2025-01,2025,338,18-25
100,C1100,61,Female,Bristol,Electronics,Smartphone,5,359,1795,31/07/2025,5,On-Time,5,No,No Return,High,0,1,2025-07,2025,1795,51-65
101,C1101,25,Female,Liverpool,Fashion,Dress,1,105,105,06/05/2025,4,On-Time,4,Yes,Damaged Product,Medium,1,1,2025-05,2025,105,18-25
102,C1102,41,Male,Bristol,Electronics,Smartwatch,1,114,114,11/02/2025,7,Delayed,3,No,No Return,Medium,0,0,2025-02,2025,114,36-50
103,C1103,28,Female,Glasgow,Electronics,Headphones,3,228,684,08/04/2025,7,Delayed,3,No,No Return,High,0,0,2025-04,2025,684,26-35
104,C1104,34,Female,Manchester,Electronics,Smartwatch,4,173,692,31/01/2025,9,Delayed,2,Yes,Wrong Item,High,1,0,2025-01,2025,692,26-35
105,C1105,25,Female,Bristol,Electronics,Tablet,3,607,1821,07/06/2025,9,Delayed,1,Yes,Poor Quality,High,1,0,2025-06,2025,1821,18-25
106,C1106,52,Female,Birmingham,Electronics,Smartwatch,1,295,295,22/04/2025,5,On-Time,4,No,No Return,Medium,0,1,2025-04,2025,295,51-65
107,C1107,52,Female,Liverpool,Electronics,Tablet,5,585,2925,04/09/2025,8,Delayed,2,Yes,Wrong Item,Premium,1,0,2025-09,2025,2925,51-65
108,C1108,50,Female,Bristol,Home Goods,Lamp,3,178,534,02/05/2025,10,Delayed,2,Yes,Changed Mind,High,1,0,2025-05,2025,534,36-50
109,C1109,22,Male,Bristol,Fashion,Trainers,3,86,258,30/09/2025,1,On-Time,5,No,No Return,Medium,0,1,2025-09,2025,258,18-25
110,C1110,59,Female,Glasgow,Fashion,Trainers,2,107,214,21/10/2025,9,Delayed,2,Yes,Changed Mind,Medium,1,0,2025-10,2025,214,51-65
111,C1111,56,Female,Liverpool,Electronics,Smartwatch,1,243,243,26/07/2025,8,Delayed,2,No,No Return,Medium,0,0,2025-07,2025,243,51-65
112,C1112,58,Male,Manchester,Home Goods,Chair,5,48,240,20/04/2025,6,Delayed,2,Yes,Late Delivery,Medium,1,0,2025-04,2025,240,51-65
113,C1113,45,Female,Glasgow,Electronics,Laptop,3,1126,3378,05/10/2025,3,On-Time,5,No,No Return,Premium,0,1,2025-10,2025,3378,36-50
114,C1114,24,Female,Manchester,Electronics,Laptop,3,1123,3369,25/02/2025,3,On-Time,5,No,No Return,Premium,0,1,2025-02,2025,3369,18-25
115,C1115,26,Female,Sheffield,Fashion,Jacket,5,140,700,26/02/2025,8,Delayed,2,No,No Return,High,0,0,2025-02,2025,700,26-35
116,C1116,25,Male,Glasgow,Electronics,Smartphone,1,455,455,18/10/2025,5,On-Time,3,No,No Return,Medium,0,1,2025-10,2025,455,18-25
117,C1117,29,Male,Liverpool,Electronics,Smartphone,2,639,1278,24/04/2025,10,Delayed,3,Yes,Wrong Item,High,1,0,2025-04,2025,1278,26-35
118,C1118,51,Other,London,Fashion,T-Shirt,3,38,114,04/11/2025,7,Delayed,2,No,No Return,Medium,0,0,2025-11,2025,114,51-65
119,C1119,50,Female,Liverpool,Home Goods,Cookware Set,2,168,336,07/12/2025,5,On-Time,4,No,No Return,Medium,0,1,2025-12,2025,336,36-50
120,C1120,65,Male,Liverpool,Fashion,Jacket,4,49,196,17/07/2025,8,Delayed,1,No,No Return,Medium,0,0,2025-07,2025,196,51-65
121,C1121,40,Female,Manchester,Fashion,T-Shirt,1,32,32,17/11/2025,10,Delayed,3,No,No Return,Low,0,0,2025-11,2025,32,36-50
122,C1122,41,Female,Manchester,Home Goods,Chair,4,235,940,28/06/2025,10,Delayed,2,Yes,Changed Mind,High,1,0,2025-06,2025,940,36-50
123,C1123,54,Female,Liverpool,Electronics,Smartwatch,4,191,764,07/08/2025,4,On-Time,5,No,No Return,High,0,1,2025-08,2025,764,51-65
124,C1124,52,Female,Liverpool,Electronics,Tablet,4,327,1308,04/10/2025,2,On-Time,4,No,No Return,High,0,1,2025-10,2025,1308,51-65
125,C1125,61,Male,Liverpool,Electronics,Smartwatch,1,107,107,16/01/2025,3,On-Time,5,No,No Return,Medium,0,1,2025-01,2025,107,51-65
126,C1126,57,Male,Manchester,Fashion,Jeans,1,36,36,02/03/2025,8,Delayed,2,Yes,Late Delivery,Low,1,0,2025-03,2025,36,51-65
127,C1127,39,Male,Liverpool,Fashion,Dress,5,109,545,23/02/2025,7,Delayed,3,No,No Return,High,0,0,2025-02,2025,545,36-50
128,C1128,44,Female,Liverpool,Home Goods,Blender,2,55,110,17/06/2025,2,On-Time,5,No,No Return,Medium,0,1,2025-06,2025,110,36-50
129,C1129,52,Male,Sheffield,Fashion,Jacket,2,84,168,26/01/2025,6,Delayed,4,Yes,Wrong Item,Medium,1,0,2025-01,2025,168,51-65
130,C1130,18,Male,Leeds,Fashion,Dress,5,75,375,02/12/2025,9,Delayed,2,Yes,Changed Mind,Medium,1,0,2025-12,2025,375,18-25
131,C1131,52,Male,London,Electronics,Headphones,5,71,355,06/03/2025,4,On-Time,5,No,No Return,Medium,0,1,2025-03,2025,355,51-65
132,C1132,54,Female,Birmingham,Home Goods,Lamp,4,225,900,10/04/2025,9,Delayed,2,Yes,Changed Mind,High,1,0,2025-04,2025,900,51-65
133,C1133,64,Female,London,Home Goods,Blender,5,146,730,15/03/2025,2,On-Time,5,No,No Return,High,0,1,2025-03,2025,730,51-65
134,C1134,31,Male,Leeds,Home Goods,Lamp,3,99,297,11/07/2025,2,On-Time,5,Yes,Late Delivery,Medium,1,1,2025-07,2025,297,26-35
135,C1135,20,Male,Birmingham,Electronics,Tablet,2,555,1110,20/06/2025,9,Delayed,2,No,No Return,High,0,0,2025-06,2025,1110,18-25
136,C1136,18,Female,Glasgow,Fashion,Trainers,5,85,425,30/09/2025,7,Delayed,3,No,No Return,Medium,0,0,2025-09,2025,425,18-25
137,C1137,22,Male,Liverpool,Electronics,Tablet,3,295,885,06/07/2025,7,Delayed,3,No,No Return,High,0,0,2025-07,2025,885,18-25
138,C1138,43,Male,Leeds,Electronics,Laptop,3,763,2289,23/01/2025,1,On-Time,5,No,No Return,Premium,0,1,2025-01,2025,2289,36-50
139,C1139,31,Male,Sheffield,Electronics,Headphones,3,197,591,30/06/2025,6,Delayed,2,Yes,Late Delivery,High,1,0,2025-06,2025,591,26-35
140,C1140,56,Male,Glasgow,Fashion,Dress,3,57,171,23/11/2025,7,Delayed,3,Yes,Wrong Item,Medium,1,0,2025-11,2025,171,51-65
141,C1141,44,Male,Liverpool,Fashion,Trainers,4,67,268,18/04/2025,6,Delayed,3,No,No Return,Medium,0,0,2025-04,2025,268,36-50
142,C1142,26,Female,Manchester,Electronics,Smartwatch,3,244,732,01/12/2025,6,Delayed,3,No,No Return,High,0,0,2025-12,2025,732,26-35
143,C1143,32,Male,Bristol,Electronics,Laptop,4,1079,4316,11/06/2025,2,On-Time,4,No,No Return,Premium,0,1,2025-06,2025,4316,26-35
144,C1144,32,Female,Leeds,Fashion,Jeans,4,30,120,29/10/2025,6,Delayed,4,No,No Return,Medium,0,0,2025-10,2025,120,26-35
145,C1145,43,Male,Manchester,Electronics,Smartwatch,3,236,708,25/07/2025,4,On-Time,4,No,No Return,High,0,1,2025-07,2025,708,36-50
146,C1146,59,Female,Leeds,Electronics,Smartwatch,2,246,492,19/03/2025,9,Delayed,2,No,No Return,Medium,0,0,2025-03,2025,492,51-65
147,C1147,30,Female,Sheffield,Fashion,Trainers,3,97,291,16/01/2025,1,On-Time,5,No,No Return,Medium,0,1,2025-01,2025,291,26-35
148,C1148,49,Male,Leeds,Home Goods,Vacuum,3,168,504,23/11/2025,8,Delayed,2,Yes,Late Delivery,High,1,0,2025-11,2025,504,36-50
149,C1149,56,Female,Manchester,Electronics,Headphones,3,153,459,06/04/2025,5,On-Time,4,No,No Return,Medium,0,1,2025-04,2025,459,51-65
150,C1150,49,Male,Sheffield,Electronics,Smartphone,2,761,1522,27/05/2025,1,On-Time,4,No,No Return,High,0,1,2025-05,2025,1522,36-50
151,C1151,21,Other,Birmingham,Electronics,Smartwatch,1,280,280,02/01/2025,4,On-Time,3,No,No Return,Medium,0,1,2025-01,2025,280,18-25
152,C1152,47,Male,London,Home Goods,Cookware Set,1,242,242,10/01/2025,1,On-Time,5,No,No Return,Medium,0,1,2025-01,2025,242,36-50
153,C1153,54,Male,Liverpool,Fashion,Jacket,4,117,468,05/05/2025,6,Delayed,3,No,No Return,Medium,0,0,2025-05,2025,468,51-65
154,C1154,40,Male,Leeds,Fashion,Dress,4,109,436,22/03/2025,2,On-Time,5,No,No Return,Medium,0,1,2025-03,2025,436,36-50
155,C1155,56,Other,Liverpool,Electronics,Headphones,2,189,378,20/05/2025,5,On-Time,4,No,No Return,Medium,0,1,2025-05,2025,378,51-65
156,C1156,62,Female,Bristol,Fashion,T-Shirt,5,30,150,22/11/2025,7,Delayed,4,No,No Return,Medium,0,0,2025-11,2025,150,51-65
157,C1157,32,Female,Manchester,Electronics,Laptop,1,936,936,30/05/2025,2,On-Time,5,No,No Return,High,0,1,2025-05,2025,936,26-35
158,C1158,60,Male,Liverpool,Fashion,Jacket,4,148,592,15/10/2025,6,Delayed,3,No,No Return,High,0,0,2025-10,2025,592,51-65
159,C1159,46,Female,Manchester,Home Goods,Lamp,1,106,106,27/12/2025,6,Delayed,3,No,No Return,Medium,0,0,2025-12,2025,106,36-50
160,C1160,53,Male,Liverpool,Fashion,Jeans,2,28,56,06/12/2025,5,On-Time,4,No,No Return,Low,0,1,2025-12,2025,56,51-65
161,C1161,30,Female,London,Home Goods,Vacuum,2,80,160,09/05/2025,5,On-Time,5,No,No Return,Medium,0,1,2025-05,2025,160,26-35
162,C1162,49,Male,London,Fashion,Jacket,5,110,550,27/08/2025,3,On-Time,5,No,No Return,High,0,1,2025-08,2025,550,36-50
163,C1163,24,Male,Sheffield,Electronics,Smartphone,5,857,4285,27/02/2025,10,Delayed,1,Yes,Poor Quality,Premium,1,0,2025-02,2025,4285,18-25
164,C1164,39,Male,London,Home Goods,Cookware Set,2,51,102,17/07/2025,10,Delayed,2,Yes,Damaged Product,Medium,1,0,2025-07,2025,102,36-50
165,C1165,45,Male,Sheffield,Electronics,Laptop,4,1126,4504,30/07/2025,2,On-Time,5,No,No Return,Premium,0,1,2025-07,2025,4504,36-50
166,C1166,19,Female,London,Fashion,Jacket,1,83,83,14/02/2025,7,Delayed,3,No,No Return,Low,0,0,2025-02,2025,83,18-25
167,C1167,59,Male,London,Electronics,Tablet,3,600,1800,07/04/2025,1,On-Time,4,Yes,Wrong Item,High,1,1,2025-04,2025,1800,51-65
168,C1168,62,Female,London,Electronics,Laptop,5,909,4545,06/10/2025,6,Delayed,3,No,No Return,Premium,0,0,2025-10,2025,4545,51-65
169,C1169,23,Male,Manchester,Fashion,Dress,3,150,450,23/01/2025,6,Delayed,3,No,No Return,Medium,0,0,2025-01,2025,450,18-25
170,C1170,45,Female,Leeds,Electronics,Smartphone,4,855,3420,01/12/2025,3,On-Time,4,Yes,Poor Quality,Premium,1,1,2025-12,2025,3420,36-50
171,C1171,45,Male,Sheffield,Fashion,Trainers,5,34,170,13/02/2025,2,On-Time,4,No,No Return,Medium,0,1,2025-02,2025,170,36-50
172,C1172,61,Male,Liverpool,Fashion,T-Shirt,3,41,123,27/01/2025,2,On-Time,5,No,No Return,Medium,0,1,2025-01,2025,123,51-65
173,C1173,61,Female,London,Electronics,Smartwatch,4,165,660,09/10/2025,9,Delayed,2,Yes,Damaged Product,High,1,0,2025-10,2025,660,51-65
174,C1174,37,Male,Manchester,Electronics,Smartphone,1,915,915,07/04/2025,5,On-Time,5,No,No Return,High,0,1,2025-04,2025,915,36-50
175,C1175,47,Male,Manchester,Fashion,Jeans,4,57,228,05/02/2025,7,Delayed,3,No,No Return,Medium,0,0,2025-02,2025,228,36-50
